sha256,cluster
00066fbfc7dedd54bc6b43607e0e5fb1ee73b37e02da2dd53c59aeccb205dfb1,0
001a46ad6757db4c4a97f63c8d6123c4a1e3b2cca2f5eafed0ffba2f6ff823ca,1
002b5f28e59646c2c0d887736545a35e3a2c92dac13faa41dfa180632b8338c8,0
003dd90b903577ba487a74cfa6c9a7dce3b4d98eb1d58c82ccda6e79215ce029,0
004027a81354c9359b8a8043ed20f53ad319bca29b1c15248bca644c138a0ba1,0
005a9ed6a7ab2dfbe64b23623bc40dc7f8cdfba385fca753ddab38b4ae5c62c7,0
00612ab97c1698d4064ca51f11ae5e3578b9e6e25a44969ee1e13b0df16004e4,0
007841124224cf8f652851532c7f269be8d6ae3cff7d3512f2836a03565a4f36,0
00ad4f9fe57de6f76985abd61abf8199f742be27e0327f6f28cdbcb33c26fb16,0
00ad9479222c2ad0370530a2828fdafba1c0f16a4c02b7fd7dfc69684ce4344b,0
00af0073ae801770b55725ab8b6c351ae5b08a6c3fcc74dfbdc0c5dd8c4d72ad,0
00df1ed27a399beff4e658b66ed6e98781234805f6f47c98b63adcea532ad660,0
00e3094968bb13846ba93eac7d08dab7cdb5685c64691487546f71d5576fb5e6,0
00e4bb191275766546e3bbd30f6c197f8e93af4245f530bd9144a1a33c5faede,0
00e5e8bb2c2942f6148f8e284c0ed0610a2fd9efd72b0f24494f103b33963244,0
00ebaaa50f57dc0b07dc61e58528bea14f5f3a0e1774cc6eb0064f2f2e7ef64c,0
00ed590b496ee9d081fe857215bc1ae57118e91b42e107660e862c8cdfdfe9a1,0
00fef068cbf89c94a09fbe399705767343398a923b4f104cca8fd1529e89c38d,0
010de91ae8185f5e7cee9c14ebd0a5f33fdf45b5675c20b0fc75f9a37267f5fe,0
0158f1f31a3f2a7072fca79ec4d362b8ba64f57a40ac91e27efbe79cb33546da,0
01657082ea367a2e92e7cc7891b219a6f6222ce36214f90fccd811bf3c835019,1
0171fa7564f5c00b0dcae7d637ed03f9ef33dd9f55ac92ea1fdefca9ec42a7f3,0
0178f784165351d8a2ea3e845696226933f5abe885e875d2a8f5e53862b99147,0
017cefc3caf9b2618500706383b7a9d5a97e170b99f71f6bf9356ebca76e35c9,0
0180b1200d87578fdb70cb7ed27cd048c9a91d15d74636bc542ea1cf1e7540cc,1
0193c2d60f9addf2eb7731eb48cd4d6b40068b3f68fab613976f211f70a1a0d8,0
019b600f0635f2644d1c70a1567d931d4540664a0dda9736c917a0c3b3f0d543,0
019e1ddbcbfbd8d8e23624750ec6337f5c93caf3810dca4cc675ba1227c508c9,0
01d052be73e05bf38d0e24e952671eb86ec504ebfa2190d8ababc93e01fc9bb5,0
01d0fa55eff1b70abd646d8093a05b3aefa0cd6f5c6d365d65d311d835eb9132,0
01d235bfb6dd9d3fd286dd1a126aee113d6b8bdcd5ace72930ff959cf12c2d96,0
01dda1634d29f485dbdabadb48043c5119ea92d9d4225b0e845de66bd10557b6,1
01e16f7ba154692c7b338428189ed5e858ebf987dc8e7fa54cf1c8c1ab10511a,0
01e23d41c3c70941abf6d286aa6c21444e91acc996ac56caf7e6dc629352dd23,0
01ffac354aa77b90dd1b73fce738517b50ae5525beee99711bdb370fa28a6e45,0
0215d7eea8863af76c25439e1ec424d29b81d71c8e2bf4609db7671627319c9e,0
024975296e79f8c76ddf1b1460a7f968392cd835d1f8877909f710824b8efb52,0
02706740810dd2e4e41a552b8348c19ba1cb2d83abcbf13c098648c898941ed3,0
028d73f33eb3df7cebdaa1e940f796837ab98329cabf16c210bcaa2fa4104e9b,0
